artifact,prop_min,node_id_min,prop_max,node_id_max,prop_mean
artifact0,300,node1,300,node3,300.0
artifact1,301,node1,301,node3,301.0
artifact10,310,node1,310,node3,310.0
artifact100,400,node1,400,node3,400.0
artifact1000,1300,node1,1300,node3,1300.0
artifact1001,1301,node1,1301,node3,1301.0
artifact1002,1302,node1,1302,node3,1302.0
artifact1003,1303,node1,1303,node3,1303.0
artifact1004,1304,node1,1304,node3,1304.0
artifact1005,1305,node1,1305,node3,1305.0
artifact1006,1306,node1,1306,node3,1306.0
artifact1007,1307,node1,1307,node3,1307.0
artifact1008,1308,node1,1308,node3,1308.0
artifact1009,1309,node1,1309,node3,1309.0
artifact101,401,node1,401,node3,401.0
artifact1010,1310,node1,1310,node3,1310.0
artifact1011,1311,node1,1311,node3,1311.0
artifact1012,1312,node1,1312,node3,1312.0
artifact1013,1313,node1,1313,node3,1313.0
artifact1014,1314,node1,1314,node3,1314.0
artifact1015,1315,node1,1315,node3,1315.0
artifact1016,1316,node1,1316,node3,1316.0
artifact1017,1317,node1,1317,node3,1317.0
artifact1018,1318,node1,1318,node3,1318.0
artifact1019,1319,node1,1319,node3,1319.0
artifact102,402,node1,402,node3,402.0
artifact1020,1320,node1,1320,node3,1320.0
artifact1021,1321,node1,1321,node3,1321.0
artifact1022,1322,node1,1322,node3,1322.0
artifact1023,1323,node1,1323,node3,1323.0
artifact1024,1324,node1,1324,node3,1324.0
artifact1025,1325,node1,1325,node3,1325.0
artifact1026,1326,node1,1326,node3,1326.0
artifact1027,1327,node1,1327,node3,1327.0
artifact1028,1328,node1,1328,node3,1328.0
artifact1029,1329,node1,1329,node3,1329.0
artifact103,403,node1,403,node3,403.0
artifact1030,1330,node1,1330,node3,1330.0
artifact1031,1331,node1,1331,node3,1331.0
artifact1032,1332,node1,1332,node3,1332.0
artifact1033,1333,node1,1333,node3,1333.0
artifact1034,1334,node1,1334,node3,1334.0
artifact1035,1335,node1,1335,node3,1335.0
artifact1036,1336,node1,1336,node3,1336.0
artifact1037,1337,node1,1337,node3,1337.0
artifact1038,1338,node1,1338,node3,1338.0
artifact1039,1339,node1,1339,node3,1339.0
artifact104,404,node1,404,node3,404.0
artifact1040,1340,node1,1340,node3,1340.0
artifact1041,1341,node1,1341,node3,1341.0
artifact1042,1342,node1,1342,node3,1342.0
artifact1043,1343,node1,1343,node3,1343.0
artifact1044,1344,node1,1344,node3,1344.0
artifact1045,1345,node1,1345,node3,1345.0
artifact1046,1346,node1,1346,node3,1346.0
artifact1047,1347,node1,1347,node3,1347.0
artifact1048,1348,node1,1348,node3,1348.0
artifact1049,1349,node1,1349,node3,1349.0
artifact105,405,node1,405,node3,405.0
artifact1050,1350,node1,1350,node3,1350.0
artifact1051,1351,node1,1351,node3,1351.0
artifact1052,1352,node1,1352,node3,1352.0
artifact1053,1353,node1,1353,node3,1353.0
artifact1054,1354,node1,1354,node3,1354.0
artifact1055,1355,node1,1355,node3,1355.0
artifact1056,1356,node1,1356,node3,1356.0
artifact1057,1357,node1,1357,node3,1357.0
artifact1058,1358,node1,1358,node3,1358.0
artifact1059,1359,node1,1359,node3,1359.0
artifact106,406,node1,406,node3,406.0
artifact1060,1360,node1,1360,node3,1360.0
artifact1061,1361,node1,1361,node3,1361.0
artifact1062,1362,node1,1362,node3,1362.0
artifact1063,1363,node1,1363,node3,1363.0
artifact1064,1364,node1,1364,node3,1364.0
artifact1065,1365,node1,1365,node3,1365.0
artifact1066,1366,node1,1366,node3,1366.0
artifact1067,1367,node1,1367,node3,1367.0
artifact1068,1368,node1,1368,node3,1368.0
artifact1069,1369,node1,1369,node3,1369.0
artifact107,407,node1,407,node3,407.0
artifact1070,1370,node1,1370,node3,1370.0
artifact1071,1371,node1,1371,node3,1371.0
artifact1072,1372,node1,1372,node3,1372.0
artifact1073,1373,node1,1373,node3,1373.0
artifact1074,1374,node1,1374,node3,1374.0
artifact1075,1375,node1,1375,node3,1375.0
artifact1076,1376,node1,1376,node3,1376.0
artifact1077,1377,node1,1377,node3,1377.0
artifact1078,1378,node1,1378,node3,1378.0
artifact1079,1379,node1,1379,node3,1379.0
artifact108,408,node1,408,node3,408.0
artifact1080,1380,node1,1380,node3,1380.0
artifact1081,1381,node1,1381,node3,1381.0
artifact1082,1382,node1,1382,node3,1382.0
artifact1083,1383,node1,1383,node3,1383.0
artifact1084,1384,node1,1384,node3,1384.0
artifact1085,1385,node1,1385,node3,1385.0
artifact1086,1386,node1,1386,node3,1386.0
artifact1087,1387,node1,1387,node3,1387.0
artifact1088,1388,node1,1388,node3,1388.0
artifact1089,1389,node1,1389,node3,1389.0
artifact109,409,node1,409,node3,409.0
artifact1090,1390,node1,1390,node3,1390.0
artifact1091,1391,node1,1391,node3,1391.0
artifact1092,1392,node1,1392,node3,1392.0
