,artifact,prop,prop_mean
0,artifact0,300,300.0
1,artifact1,301,301.0
10,artifact10,310,310.0
100,artifact100,400,400.0
1000,artifact1000,1300,1300.0
1001,artifact1001,1301,1301.0
1002,artifact1002,1302,1302.0
1003,artifact1003,1303,1303.0
1004,artifact1004,1304,1304.0
1005,artifact1005,1305,1305.0
1006,artifact1006,1306,1306.0
1007,artifact1007,1307,1307.0
1008,artifact1008,1308,1308.0
1009,artifact1009,1309,1309.0
101,artifact101,401,401.0
1010,artifact1010,1310,1310.0
1011,artifact1011,1311,1311.0
1012,artifact1012,1312,1312.0
1013,artifact1013,1313,1313.0
1014,artifact1014,1314,1314.0
1015,artifact1015,1315,1315.0
1016,artifact1016,1316,1316.0
1017,artifact1017,1317,1317.0
1018,artifact1018,1318,1318.0
1019,artifact1019,1319,1319.0
102,artifact102,402,402.0
1020,artifact1020,1320,1320.0
1021,artifact1021,1321,1321.0
1022,artifact1022,1322,1322.0
1023,artifact1023,1323,1323.0
1024,artifact1024,1324,1324.0
1025,artifact1025,1325,1325.0
1026,artifact1026,1326,1326.0
1027,artifact1027,1327,1327.0
1028,artifact1028,1328,1328.0
1029,artifact1029,1329,1329.0
103,artifact103,403,403.0
1030,artifact1030,1330,1330.0
1031,artifact1031,1331,1331.0
1032,artifact1032,1332,1332.0
1033,artifact1033,1333,1333.0
1034,artifact1034,1334,1334.0
1035,artifact1035,1335,1335.0
1036,artifact1036,1336,1336.0
1037,artifact1037,1337,1337.0
1038,artifact1038,1338,1338.0
1039,artifact1039,1339,1339.0
104,artifact104,404,404.0
1040,artifact1040,1340,1340.0
1041,artifact1041,1341,1341.0
1042,artifact1042,1342,1342.0
1043,artifact1043,1343,1343.0
1044,artifact1044,1344,1344.0
1045,artifact1045,1345,1345.0
1046,artifact1046,1346,1346.0
1047,artifact1047,1347,1347.0
1048,artifact1048,1348,1348.0
1049,artifact1049,1349,1349.0
105,artifact105,405,405.0
1050,artifact1050,1350,1350.0
1051,artifact1051,1351,1351.0
1052,artifact1052,1352,1352.0
1053,artifact1053,1353,1353.0
1054,artifact1054,1354,1354.0
1055,artifact1055,1355,1355.0
1056,artifact1056,1356,1356.0
1057,artifact1057,1357,1357.0
1058,artifact1058,1358,1358.0
1059,artifact1059,1359,1359.0
106,artifact106,406,406.0
1060,artifact1060,1360,1360.0
1061,artifact1061,1361,1361.0
1062,artifact1062,1362,1362.0
1063,artifact1063,1363,1363.0
1064,artifact1064,1364,1364.0
1065,artifact1065,1365,1365.0
1066,artifact1066,1366,1366.0
1067,artifact1067,1367,1367.0
1068,artifact1068,1368,1368.0
1069,artifact1069,1369,1369.0
107,artifact107,407,407.0
1070,artifact1070,1370,1370.0
1071,artifact1071,1371,1371.0
1072,artifact1072,1372,1372.0
1073,artifact1073,1373,1373.0
1074,artifact1074,1374,1374.0
1075,artifact1075,1375,1375.0
1076,artifact1076,1376,1376.0
1077,artifact1077,1377,1377.0
1078,artifact1078,1378,1378.0
1079,artifact1079,1379,1379.0
108,artifact108,408,408.0
1080,artifact1080,1380,1380.0
1081,artifact1081,1381,1381.0
1082,artifact1082,1382,1382.0
1083,artifact1083,1383,1383.0
1084,artifact1084,1384,1384.0
1085,artifact1085,1385,1385.0
1086,artifact1086,1386,1386.0
1087,artifact1087,1387,1387.0
1088,artifact1088,1388,1388.0
1089,artifact1089,1389,1389.0
109,artifact109,409,409.0
1090,artifact1090,1390,1390.0
1091,artifact1091,1391,1391.0
1092,artifact1092,1392,1392.0
1093,artifact1093,1393,1393.0
1094,artifact1094,1394,1394.0
1095,artifact1095,1395,1395.0
1096,artifact1096,1396,1396.0
1097,artifact1097,1397,1397.0
1098,artifact1098,1398,1398.0
1099,artifact1099,1399,1399.0
11,artifact11,311,311.0
110,artifact110,410,410.0
1100,artifact1100,1400,1400.0
1101,artifact1101,1401,1401.0
1102,artifact1102,1402,1402.0
1103,artifact1103,1403,1403.0
1104,artifact1104,1404,1404.0
1105,artifact1105,1405,1405.0
1106,artifact1106,1406,1406.0
1107,artifact1107,1407,1407.0
1108,artifact1108,1408,1408.0
1109,artifact1109,1409,1409.0
111,artifact111,411,411.0
1110,artifact1110,1410,1410.0
1111,artifact1111,1411,1411.0
1112,artifact1112,1412,1412.0
1113,artifact1113,1413,1413.0
1114,artifact1114,1414,1414.0
1115,artifact1115,1415,1415.0
1116,artifact1116,1416,1416.0
1117,artifact1117,1417,1417.0
1118,artifact1118,1418,1418.0
1119,artifact1119,1419,1419.0
112,artifact112,412,412.0
1120,artifact1120,1420,1420.0
1121,artifact1121,1421,1421.0
1122,artifact1122,1422,1422.0
1123,artifact1123,1423,1423.0
1124,artifact1124,1424,1424.0
1125,artifact1125,1425,1425.0
1126,artifact1126,1426,1426.0
1127,artifact1127,1427,1427.0
1128,artifact1128,1428,1428.0
1129,artifact1129,1429,1429.0
113,artifact113,413,413.0
1130,artifact1130,1430,1430.0
1131,artifact1131,1431,1431.0
1132,artifact1132,1432,1432.0
1133,artifact1133,1433,1433.0
1134,artifact1134,1434,1434.0
1135,artifact1135,1435,1435.0
1136,artifact1136,1436,1436.0
1137,artifact1137,1437,1437.0
1138,artifact1138,1438,1438.0
1139,artifact1139,1439,1439.0
114,artifact114,414,414.0
1140,artifact1140,1440,1440.0
1141,artifact1141,1441,1441.0
1142,artifact1142,1442,1442.0
1143,artifact1143,1443,1443.0
1144,artifact1144,1444,1444.0
1145,artifact1145,1445,1445.0
1146,artifact1146,1446,1446.0
1147,artifact1147,1447,1447.0
1148,artifact1148,1448,1448.0
1149,artifact1149,1449,1449.0
115,artifact115,415,415.0
1150,artifact1150,1450,1450.0
1151,artifact1151,1451,1451.0
1152,artifact1152,1452,1452.0
1153,artifact1153,1453,1453.0
1154,artifact1154,1454,1454.0
1155,artifact1155,1455,1455.0
1156,artifact1156,1456,1456.0
1157,artifact1157,1457,1457.0
1158,artifact1158,1458,1458.0
1159,artifact1159,1459,1459.0
116,artifact116,416,416.0
1160,artifact1160,1460,1460.0
1161,artifact1161,1461,1461.0
1162,artifact1162,1462,1462.0
1163,artifact1163,1463,1463.0
1164,artifact1164,1464,1464.0
1165,artifact1165,1465,1465.0
1166,artifact1166,1466,1466.0
1167,artifact1167,1467,1467.0
1168,artifact1168,1468,1468.0
1169,artifact1169,1469,1469.0
117,artifact117,417,417.0
1170,artifact1170,1470,1470.0
1171,artifact1171,1471,1471.0
1172,artifact1172,1472,1472.0
1173,artifact1173,1473,1473.0
1174,artifact1174,1474,1474.0
1175,artifact1175,1475,1475.0
1176,artifact1176,1476,1476.0
1177,artifact1177,1477,1477.0
1178,artifact1178,1478,1478.0
1179,artifact1179,1479,1479.0
118,artifact118,418,418.0
1180,artifact1180,1480,1480.0
1181,artifact1181,1481,1481.0
1182,artifact1182,1482,1482.0
1183,artifact1183,1483,1483.0
1184,artifact1184,1484,1484.0
1185,artifact1185,1485,1485.0
1186,artifact1186,1486,1486.0
1187,artifact1187,1487,1487.0
1188,artifact1188,1488,1488.0
1189,artifact1189,1489,1489.0
119,artifact119,419,419.0
1190,artifact1190,1490,1490.0
